region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,latitude,longitude
prescott,42064,2020,chevrolet,silverado,like new,8 cylinders,gas,17260,clean,automatic,4wd,full-size,truck,white,az,34.586025,-112.318347
prescott,17989,2019,jeep,renegade,like new,4 cylinders,gas,29854,clean,automatic,fwd,compact,SUV,black,az,34.586025,-112.318347
prescott,34588,2019,ram,1500,like new,8 cylinders,gas,26979,clean,automatic,rwd,full-size,truck,grey,az,34.586025,-112.318347
prescott,23999,2020,gmc,terrain,like new,4 cylinders,gas,35682,clean,automatic,4wd,compact,SUV,white,az,34.586025,-112.318347
prescott,22498,2020,mitsubishi,outlander,like new,4 cylinders,gas,10912,clean,automatic,fwd,mid-size,SUV,white,az,34.586025,-112.318347
prescott,15995,2019,chevrolet,cruze,like new,4 cylinders,gas,19347,clean,automatic,fwd,compact,sedan,white,az,34.586025,-112.318347
prescott,119995,2021,chevrolet,corvette c8 z51,new,8 cylinders,gas,167,clean,automatic,rwd,mid-size,convertible,orange,az,34.630383,-112.405071
prescott,24395,2020,chrysler,voyager,like new,6 cylinders,gas,41518,clean,automatic,fwd,mid-size,mini-van,grey,az,34.586025,-112.318347
prescott,20987,2020,dodge,grand caravan,like new,6 cylinders,gas,42120,clean,automatic,fwd,mid-size,mini-van,silver,az,34.586025,-112.318347
prescott,21998,2020,dodge,grand caravan,like new,6 cylinders,gas,45282,clean,automatic,fwd,mid-size,mini-van,blue,az,34.586025,-112.318347
prescott,22367,2019,toyota,camry,like new,4 cylinders,gas,36880,clean,automatic,fwd,mid-size,sedan,grey,az,34.586025,-112.318347
